Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-34.965868,-9e-05,90.0,top
J3,Conn_Coaxial,ANT-TH_DOSIN-801-0057,16.163132,-9e-05,90.0,top
J4,Conn_Coaxial,ANT-TH_DOSIN-801-0057,35.213132,-9e-05,90.0,top
J5,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-15.915868,-9e-05,90.0,top
J6,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-15.915868,-25.40009,90.0,top
J7,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-34.965868,-25.40009,90.0,top
J8,Conn_Coaxial,ANT-TH_DOSIN-801-0057,16.163132,-25.40009,90.0,top
J9,Conn_Coaxial,ANT-TH_DOSIN-801-0057,35.213132,-25.40009,90.0,top
J10,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-15.915868,-50.80009,90.0,top
J11,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-34.965868,-50.80009,90.0,top
J12,Conn_Coaxial,ANT-TH_DOSIN-801-0057,16.163132,-50.80009,90.0,top
J13,Conn_Coaxial,ANT-TH_DOSIN-801-0057,35.213132,-50.80009,90.0,top
J14,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-15.915868,-76.20009,90.0,top
J15,Conn_Coaxial,ANT-TH_DOSIN-801-0057,-34.965868,-76.20009,90.0,top
J16,Conn_Coaxial,ANT-TH_DOSIN-801-0057,16.163132,-76.20009,90.0,top
J17,Conn_Coaxial,ANT-TH_DOSIN-801-0057,35.213132,-76.23009,90.0,top
J18,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,54.975,-0.0,0.0,top
J19,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,54.975,-25.4,0.0,top
J20,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,54.975,-50.8,0.0,top
J21,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,54.975,-76.2,0.0,top
J22,Conn_01x22,FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,-52.0025,-23.0,-90.0,top
J23,Conn_01x22,FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,-52.0025,-53.0,-90.0,top
